Date,Total,Target
2010/06/01,208280310,
2010/07/01,372132091,372000000
2010/08/01,400944073,401000000
2010/09/01,425385736,425000000
2010/10/01,432613085,433000000
2010/11/01,491794260,492000000
2010/12/01,555653967,556000000
2011/01/01,680527579,670000000
2011/02/01,692464914,690000000
2011/03/01,622902258,620000000
2011/04/01,728233197,726000000
2011/05/01,762990098,785000000
2011/06/01,801552556,848478495.575645
2011/07/01,857407355,917090136.884472
2011/08/01,916946743,991250012.294266
2011/09/01,887103215,1071406776.01373
2011/10/01,1111140204,1158045362.37157
2011/11/01,1325724262,1251689919.58393
2011/12/01,1533885014,1352906980.75894
2012/01/01,1681435126,1462308891.32247
2012/02/01,1663482355,1580557513.60023
2012/03/01,1858551326,1708368230.96854
2012/04/01,2089000000,1846514275.79798
2012/05/01,,1995831407.37327
2012/06/01,,2157222968.09006
