date,AS,C,EU,I,LA,MA,NA,W
2008-01,59964000,581000,91036000,5138000,18341000,11549000,61664000,242554000
2008-02,59948000,695000,87975000,5065000,20286000,11327000,61218000,240754000
2008-03,62380000,669000,92283000,5200000,24542000,13337000,63518000,256061000
2008-04,63963000,2288000,93642000,5079000,26347000,13634000,63827000,261414000
2008-05,63560000,994000,95234000,5264000,27002000,14139000,63186000,263120000
2008-06,65764000,958000,89427000,5979000,26099000,11941000,58272000,251502000
2008-07,65838000,232000,86905000,5720000,23220000,11016000,57347000,244326000
2008-08,66895000,1382000,83931000,6217000,26847000,11371000,59494000,248539000
2008-09,68291000,2735000,98304000,6025000,28886000,12553000,64075000,272109000
2008-10,65703000,2037000,102955000,5799000,27974000,13790000,66785000,277208000
2008-11,68371000,2185000,106199000,6286000,27416000,13850000,65133000,280969000
2008-12,66026000,2286000,105318000,6421000,22769000,15103000,63782000,272998000
2009-01,71203000,1825000,112449000,6764000,22558000,15630000,67971000,289811000
2009-02,70862000,2002000,117828000,6587000,27440000,18765000,65855000,300751000
2009-03,78009000,2752000,126474000,7014000,34229000,21558000,66878000,327148000
2009-04,76024000,3115000,119578000,6807000,33400000,20133000,70908000,320043000
2009-05,75595000,2936000,118874000,7168000,33870000,19529000,69387000,317255000
2009-06,76239000,4566000,112270000,7522000,33263000,16489000,64678000,302940000
2009-07,74990000,3839000,108552000,7908000,29298000,16502000,66142000,295484000
2009-08,77365000,3547000,111190000,8398000,33186000,17816000,68084000,307641000
2009-09,77948000,2882000,123062000,8480000,35264000,18063000,71661000,325998000
2009-10,83671000,3702000,128647000,9287000,36440000,22353000,73452000,344563000
2009-11,82379000,3718000,129798000,9437000,36495000,22083000,75050000,345805000
2009-12,84201000,3657000,129763000,9696000,31391000,24058000,77607000,347020000
2010-01,89049000,3351000,136935000,10216000,32834000,23411000,82489000,364719000
2010-02,72378000,2935000,133807000,9865000,36414000,21680000,80940000,345218000
2010-03,77678000,3443000,140834000,10516000,43574000,24962000,83696000,370744000
2010-04,77535000,4081000,144087000,10923000,44286000,25146000,83792000,374846000
2010-05,80502000,2700000,150313000,11675000,45790000,26399000,85929000,388932000
2010-06,80269000,2613000,151013000,12373000,43826000,23611000,80393000,379112000
2010-07,80260000,2536000,138975000,12828000,38111000,22991000,79888000,360225000
2010-08,83015000,2829000,140560000,13187000,42303000,26220000,81295000,373392000
2010-09,83119000,3181000,155438000,13433000,45265000,28749000,85606000,398178000
2010-10,83406000,3156000,159384000,13674000,45152000,33049000,87359000,408350000
2010-11,82736000,3108000,165020000,13614000,46617000,30711000,85732000,410816000
2010-12,80958000,3372000,157837000,14004000,38738000,30852000,87087000,395472000
2011-01,85593000,3048000,168571000,15067000,39446000,32113000,88233000,413957000
2011-02,77468000,2664000,150775000,12960000,41411000,29722000,80038000,379415000
2011-03,80997000,2854000,156913000,13011000,47583000,32599000,81918000,400011000
2011-04,77891000,2866000,149211000,12801000,45108000,30272000,78234000,380716000
2011-05,84666000,3492000,161311000,13701000,49095000,33908000,82081000,411061000
2011-06,86539000,3960000,153883000,14163000,47203000,30985000,80753000,399362000
2011-07,90378000,4814000,146724000,14979000,42700000,29882000,83859000,393543000
2011-08,97661000,5163000,152109000,15944000,52983000,31749000,88277000,422779000
2011-09,102341000,5709000,166505000,16180000,56613000,35877000,93193000,454529000
2011-10,106128000,7386000,176918000,16019000,57210000,40119000,96252000,476627000
2011-11,105296000,7355000,178580000,16425000,56544000,39614000,94689000,474723000
2011-12,103851000,8803000,173496000,16425000,45235000,40068000,94413000,457063000
2012-01,108186000,8766000,184668000,17205000,47386000,42097000,99821000,482157000
2012-02,105783000,7886000,179385000,18771000,51425000,41056000,98049000,475699000
2012-03,110909000,9249000,180827000,19402000,58584000,42081000,97001000,489402000
2012-04,104524000,6666000,176376000,18688000,55227000,40589000,96664000,473380000
2012-05,108087000,5917000,185344000,20016000,58825000,42759000,97378000,492393000
2012-06,107603000,5890000,174151000,21031000,54654000,39560000,93676000,469644000
2012-07,108690000,5761000,163811000,21905000,49387000,35788000,94146000,451821000
2012-08,108428000,5602000,163167000,22027000,52510000,36327000,95824000,456255000
2012-09,107902000,4922000,175027000,21853000,54499000,38445000,98992000,474864000
2012-10,108013000,4965000,183372000,22749000,55850000,40977000,100152000,488364000
2012-11,105964000,4866000,184660000,22191000,54874000,41530000,97462000,484489000
2012-12,105288000,4457000,183718000,23339000,45777000,40802000,96966000,472552000
2013-01,109258000,4194000,192293000,24140000,47216000,40429000,99277000,488473000
2013-02,104931000,3218000,182809000,23104000,60701000,37906000,96653000,482999000
2013-03,113263000,4608000,193348000,24934000,68711000,41553000,100735000,517610000
2013-04,115045000,7412000,190229000,24889000,69779000,41062000,100633000,516749000
2013-05,119197000,8173000,192353000,25892000,69932000,41620000,98666000,521767000
2013-06,117677000,7265000,182455000,26861000,68162000,38842000,92442000,499578000
2013-07,121316000,7996000,176767000,28658000,61155000,37774000,95094000,492107000
2013-08,120185000,7828000,176114000,28286000,67071000,38812000,94693000,496875000
2013-09,116734000,6147000,184950000,27181000,68179000,39522000,96520000,505904000
2013-10,120838000,7900000,195496000,28677000,72075000,42520000,99543000,530471000
2013-11,119321000,8437000,202097000,28160000,70864000,44193000,96223000,532699000
2013-12,113753000,8684000,190982000,27254000,54761000,41467000,89238000,490200000
